Alabama,Black bear
Alaska,Bowhead whale
Arizona,Ring-tailed cat
Arkansas,White-tailed deer
California,Grizzly bear
Colorado,Bighorn sheep
Connecticut,Sperm whale
Delaware,Gray fox
Florida,Florida panther
Georgia,White-tailed deer
Hawaii,Hawaiian monk seal
Illinois,White-tailed deer
Kansas,Bison
Kentucky,Gray squirrel
Louisiana,Black bear
Maine,Moose
Massachusetts,Right whale
Michigan,White-tailed deer
Mississippi,White-tailed deer
Missouri,Missouri mule
Montana,Grizzly bear
Nebraska,White-tailed deer
Nevada,Bighorn sheep
New Hampshire,White-tailed deer
New Mexico,Black bear
New York,Beaver
North Carolina,Gray squirrel
Ohio,White-tailed deer
Oklahoma,Bison
Oregon,Beaver
Pennsylvania,White-tailed deer
Rhode Island,Harbor seal
South Carolina,White-tailed deer
South Dakota,Coyote
Tennessee,Raccoon
Texas,Nine-banded armadillo
Utah,Rocky Mountain elk
Vermont,Randall Lineback
Virginia,Virginia big-eared bat
Washington,Orca
West Virginia,Black bear
Wisconsin,American badger
Wyoming,Bison
